user_id,task_id,solved,num_tries
9,2,t,5
9,3,t,3
9,1,t,1
3,1,t,1
3,1,t,2
3,2,t,1
3,3,t,1
3,4,t,1
3,1,t,3
3,2,t,2
3,3,t,2
3,4,t,2
3,5,t,2
3,6,t,1
3,7,t,1
3,8,t,1
3,9,t,4
3,10,t,1
3,11,t,1
3,12,t,1
3,13,t,1
3,14,t,8
3,15,t,1
3,15,t,2
3,16,t,3
3,17,t,1
3,18,t,2
3,19,t,1
3,20,t,1
3,21,t,1
3,22,t,1
3,23,t,2
3,24,t,3
3,25,t,1
3,26,t,1
3,27,t,1
3,28,t,1
3,29,t,1
3,30,t,1
3,31,t,1
11,1,t,1
11,2,t,1
11,3,t,1
11,4,t,1
11,5,t,1
11,6,t,4
11,7,t,1
11,8,t,4
11,8,t,6
11,9,t,1
11,8,t,7
11,10,t,4
11,11,t,4
11,12,t,1
11,13,t,1
12,1,t,1
12,2,t,1
12,3,t,1
12,1,t,2
12,1,t,3
12,1,t,4
12,6,t,1
12,4,t,1
9,4,t,1
9,5,t,1
9,6,t,1
13,1,t,2
13,2,t,2
13,3,t,2
13,4,t,4
13,5,t,3
13,6,t,3
13,6,t,7
13,6,t,10
13,6,t,12
13,6,t,15
13,6,t,17
13,6,t,18
13,6,t,20
13,7,t,2
13,7,t,3
13,8,t,2
13,9,t,3
13,10,t,3
13,11,t,2
13,12,t,1
13,13,t,2
13,15,t,2
13,14,t,2
13,16,t,7
13,17,t,1
13,18,t,2
13,19,t,5
13,20,t,4
13,21,t,2
13,22,t,5
13,22,t,6
13,22,t,10
13,23,t,4
13,24,t,5
13,25,t,5
13,26,t,5
13,27,t,6
13,28,t,4
13,29,t,1
13,30,t,5
13,31,t,4
13,1,t,3
13,2,t,3
13,3,t,3
13,4,t,5
13,5,t,4
13,6,t,21
13,7,t,4
13,8,t,4
13,9,t,4
13,10,t,4
13,11,t,3
13,13,t,3
